authorMeta/fans,authorMeta/name,collectCount,commentCount,createTimeISO,diggCount,isSponsored,locationMeta/city,locationMeta/locationName,playCount,shareCount,text,videoMeta/duration,webVideoUrl
2476,hilands.garden,152,72,2025-06-15 12:00:55+00:00,1183,True,Machang,Pasar Isnin Machang,44100,355,"""Pasar Isnin Machang, saksi bisu kehidupan dulu dan kini...
Bau kopi, suara tawar-menawar, dan senyum mesra yang tak pernah berubah.""

#PasarMachang #NostalgiaKampung #PasarIsnin #HitamPutih #SuasanaDulu #KenanganLama #PasarTradisional #MachangKelantan #TikTokNostalgia #SeniDiPasar
#CapCut ",22,https://www.tiktok.com/@hilands.garden/video/7516144877810224404
157,brownieiboepacitan,87,22,2025-06-14 02:34:05+00:00,585,True,Tidak Mengisi/Tidak diketahui,Pacitan,13400,155,cocok buat slow living #pacitan #pacitanjawatimur #homebakery ,28,https://www.tiktok.com/@brownieiboepacitan/video/7515627719971966215
29900,uminurasih_,26,8,2025-04-30 14:52:37+00:00,293,True,Bekasi Regency,Kopi Kenangan x Chigo x Flip Burger - Ruko Tambun Bekasi,25700,42,#kopikenangan #kopi #ngopi ,11,https://www.tiktok.com/@uminurasih_/video/7499119217820585234
131,siuman16,9,3,2023-07-14 13:49:36+00:00,27,True,Makassar,Kopi Kenangan - Ruko Bawakaraeng Makassar,7163,19,"Dari mantan untuk mantan, kopi kenangan mantan ☕️✌️ #coffee #makassar #ngopi #fyp #kopikenangan❤️ #eskopi #kopikenangan @Kopi Kenangan ",15,https://www.tiktok.com/@siuman16/video/7255671078154996997
17400,diluarnuruul_____,69,0,2025-06-03 03:25:11+00:00,163,True,Surabaya,"Satu Kenangan, Wiyung Surabaya",12000,114,"Membalas @saras.008 Americano murah cuma 7 ribuan plis, kalo yg mau paketan kayak aku es kopi susu & mini croissant cuma 15 ribu😍 #satukenangan #kopikenangan #cafesurabaya #cafesurabayahits #hiddengems #hiddencafe #fyp #fypシ゚ #fypage ",10,https://www.tiktok.com/@diluarnuruul_____/video/7511558936261152056
294,wida.werawan,3,0,2023-06-02 11:14:43+00:00,18,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,2251,6,nongki cantik #jajanancifestcikarang #kopikenangan #storyestetik #fypシ゚viral ,28,https://www.tiktok.com/@wida.werawan/video/7240045615562951942
99,kata_29_,1,0,2024-10-08 16:34:53+00:00,22,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1914,4,😌#CapCut#katakata#kenangan#fy,19,https://www.tiktok.com/@kata_29_/video/7423444154237127942
587,piscexaviior,9,1,2024-11-03 17:44:01+00:00,26,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,7370,22,@Kopi Kenangan 🫶🏻❤️‍🔥🫵🏻🛐  #kopken #kopikenangan #livephotos #fyp #CapCut,8,https://www.tiktok.com/@piscexaviior/video/7433110207695244562
1,iceblackdingin,1,0,2024-09-20 04:59:20+00:00,7,True,South Tangerang,Kopi Kenangan x Chigo x Flip Burger - Ruko Graha Raya,2624,6,Ada yang baru di Kopi Kenangan!  #kopikenangan #buttersstotch #seasalt #coffee #placetogo ,6,https://www.tiktok.com/@iceblackdingin/video/7416585367069019398
1623,hai_capricorn27,2,2,2025-06-14 09:02:00+00:00,19,True,Medan Area,Kopi Kenangan - Medan Fair,4413,1,promo kopi kenangan plaza medan fair #kopi #kopikenangan ,9,https://www.tiktok.com/@hai_capricorn27/video/7515727672622763269
584,sukakopiiiiiiiiii0,39,6,2025-03-05 16:38:57+00:00,198,True,Bekasi Regency,Kopi Kenangan - BP Cikarang,38900,111,"Opening kopi kenangan di ruko cikarang avenue, lagi ada promo nih gaes 😍 #kopikenangan #kopikenanganmantan #cikarang #avenue #kopi #favorite ",16,https://www.tiktok.com/@sukakopiiiiiiiiii0/video/7478365820578548997
1137,siulyeo,100,6,2023-11-10 21:09:42+00:00,1310,True,Tidak Mengisi/Tidak diketahui,Yogyakarta City,17300,101,kepikiran mulu wkwk #fypp #4u #backburner #kopikenangan ,13,https://www.tiktok.com/@siulyeo/video/7299943646109977861
338,zahrarafikaa,21,2,2024-02-28 10:55:23+00:00,50,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,23800,153,Surga itu ngopii 🖤🖤 #kopikenangan #kenanganmantan #ngopi #fypシ゚viral #toast ,15,https://www.tiktok.com/@zahrarafikaa/video/7340604708958096645
27300,jiimunte,3,8,2025-06-14 12:07:17+00:00,53,True,Jakarta,Kopi Kenangan - Mangga Dua Square,7372,2,#kopikenangan #vouchertiktok ,11,https://www.tiktok.com/@jiimunte/video/7515775444965149960
1049,kegabutandalamhidup,3,5,2025-06-15 08:28:50+00:00,196,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,4534,2,"memang terbaik si kopken, langsung saja ga si min dia pecinta kopken @kopikenangan.id  sc: @micellarwateer  #fyp #executiverp #executiveroleplay #kopikenangan #micellarwater ",16,https://www.tiktok.com/@kegabutandalamhidup/video/7516090213282729222
3793,shelinahanesti,12,1,2025-06-14 07:29:16+00:00,67,True,Sukabumi City,Kopi Kenangan - Ruko Graha Siliwangi Sukabumi,11800,6,Kopi kenangan mantan? Gimana pahit ga? #kopikenangan #kopi #kenanganmantan #sukabumi #sukabumiexplore #promotiktok ,40,https://www.tiktok.com/@shelinahanesti/video/7515703791681834248
1145,growuplah,10,3,2025-06-14 03:35:12+00:00,226,True,Bandung City,Kopi Kenangan - Ruko Batununggal Bandung (Mini Ck),2758,12,Kopi kopi kopi promo kopi kenangan promo lagi yuk mari kopi kenangan lagi bangak promo lagi nih #kopikenangan 🥰🥰 #kopienak 🤤 #jajan 🚀#promo 🚀#diskon 🚀Tiktok loh 👍🏼❤️❤️ #fyp #cobain #foryoupage 🚀🚀🚀,21,https://www.tiktok.com/@growuplah/video/7515643469600247048
11100,sebatas_kata__,2695,30,2025-04-12 12:21:19+00:00,14800,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,305200,1830,,18,https://www.tiktok.com/@sebatas_kata__/video/7492400680368491831
5265,bukanthoriqhalilintar,73,4,2025-05-06 17:32:24+00:00,702,True,Jambi City,Kopi Kenangan - Sipin Jambi (Container) Drive Thru,100500,74,Berlaku disemua outlet & banyak pilihannya! #kopikenangan #tiktokgo #promo #jambicity #kulinerjambi #jambipride ,14,https://www.tiktok.com/@bukanthoriqhalilintar/video/7501386883818065170
23600,naumia3,4658,298,2024-10-15 03:40:04+00:00,92300,True,Tangerang Regency,Kopi Kenangan - Aeon Mall BSD,8800000,1152,Beli pake voucher ditiktok guys Ada diskon 63%  #kopi #kopikenangan #promokopi #promokopikenangan #kopken #ustiani #diskonkopi #winkofwinner #ttpetualangpro #ngopi ,19,https://www.tiktok.com/@naumia3/video/7425842078027959557
7898,tiandeh__,164,31,2025-06-16 05:22:36+00:00,1543,True,Tidak Mengisi/Tidak diketahui,Surabaya,28600,1147,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
7898,tiandeh__,163,44,2025-06-16 05:22:36+00:00,1539,True,Tidak Mengisi/Tidak diketahui,Surabaya,28500,1145,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
46,nuriiiii244,0,0,2025-06-09 13:42:43+00:00,40,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,450,0,Cardio before carbo 🤏🏼,13,https://www.tiktok.com/@nuriiiii244/video/7513944605306424581
7898,tiandeh__,164,44,2025-06-16 05:22:36+00:00,1543,True,Tidak Mengisi/Tidak diketahui,Surabaya,28600,1147,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
1100000,laguindiaenak,0,0,2025-06-16 09:58:12+00:00,47,True,Bekasi Regency,Kopi Kenangan - Ruko Grand Wisata Bekasi,982,0,Kopi kenangan favorit bgt,13,https://www.tiktok.com/@laguindiaenak/video/7516484339190762757
218,wolfiee577,3,2,2025-06-16 04:40:18+00:00,140,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,1710,1,aku yang minum kopi tiap hari shock denger nya 🫢 #kopi #kopikenangan #cofee ,9,https://www.tiktok.com/@wolfiee577/video/7516402411167124744
1301,hue_duong,1538,238,2025-06-06 11:08:03+00:00,50100,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,948200,1421,Gọi lại cái ảnh bắt máy liền… #thanhva #beenight #liveacoustic #xuhuong2025 ,79,https://www.tiktok.com/@hue_duong/video/7512791498635709704
81600,ninilll_123,27,18,2025-06-15 05:39:36+00:00,274,True,Kebumen,Sruweng,6253,24,#kopikenangan #mylove #vedeoviral #tik_tok #fypシ゚  #👌👌👌 #💪💪💪 #❤️❤️❤️❤️❤️ ,60,https://www.tiktok.com/@ninilll_123/video/7516046613169655047
4083,hachizero,7,5,2025-06-11 11:32:00+00:00,133,True,Bekasi City,Kopi Kenangan - Summarecon Mall Bekasi,4577,5,promo kopi kenangan 2 cup cuma 35ribu... lebih hemat beli voucher di tiktok #kopikenangan #promokopikenangan #kopken ,9,https://www.tiktok.com/@hachizero/video/7514653071180401925
3771,hendra.sakti,0,0,2025-05-29 12:47:11+00:00,18,True,Jakarta,Kopi Kenangan - Ruko Arundina Cibubur,1150,6,Harga Kopi kenangan di link sini gokil banget. seharga teh biasa. gk percaya coba cek link ini. #kopikenanganarundina #kopikenangancibubur #coffee ,10,https://www.tiktok.com/@hendra.sakti/video/7509848357850877240
1776,rinaspill_,2,0,2025-06-16 03:40:29+00:00,8,True,Jakarta,Kopi Kenangan - Cilangkap,364,0,Ada outlet Kopi Kenangan didekat rumahmu?? #kopikenangan #tiktokgo #kopikenanganmurah #fyp #viral ,26,https://www.tiktok.com/@rinaspill_/video/7516387004691729682
1303,tassya_jajan,0,0,2025-05-25 11:12:56+00:00,12,True,Padang,Kopi Kenangan - Pertamina 14.251.583 Khatib Sulaeman Padang,4844,0,"Promo Kopi Kenangan
Promo Tiktok gak ada habisnya. Kopi Kenangan gak mau kalah, pengen ngasih promo juga untuk warga tiktok.
dimanapun mamu berada, kamu bisa nikmati promo tiktok koi kenangan dengan klik tag lokasi di kiri bawah, nanti akan di arahkan tiktok langsung ke outlet terdekat dari kamu

#padang #wargapadang #tiktokgo #promotiktokcheck #tassyajajan #kopikenanganvoucher #kopikenanganterdekat #promotiktok #promokopikenangantiktok #promokopikenangan #kopikenanganpromo #kopikenangan #khatibsulaimanpadang ",24,https://www.tiktok.com/@tassya_jajan/video/7508339730451401992
1472,mnsrd.tt,0,0,2025-05-25 08:21:08+00:00,14,True,Makassar,Kopi Kenangan - Pertamina Perintis Makassar,827,0,Promo Menu Baru Kopi Kenangan #kopi #kenangan #kopikenangan ,26,https://www.tiktok.com/@mnsrd.tt/video/7508295440316648709
1776,chnchae,8,3,2025-05-25 12:55:12+00:00,62,True,Balikpapan,Kopi Kenangan - Ruko Ahmad Yani Balikpapan,14100,6,"Cara aku dan suami ngopi hemat dengan beli voucher dari tiktok beneran loh diskonnya. Bahkan sebelumnya beli voucher Nobu Aren Latter cuma 13rb. 

Jangan lupa beli lewat tag lokasi di video ku ya 😊

#kopikenangan #tiktokgo #jajanbalikpapan #kopken #promotiktok ",30,https://www.tiktok.com/@chnchae/video/7508366078074948920
12,yuaiyuaiyu,1,0,2025-05-24 22:35:11+00:00,8,True,Jakarta,Kopi Kenangan - Mall Kelapa Gading 3,608,0,#kopikenangan #champion #cafemaltlatte #lesssweet  #beans #bali #kintamani #tiktok #fyp #kuliner #food #yummy #beverage @Kopi Kenangan ,9,https://www.tiktok.com/@yuaiyuaiyu/video/7508144452926442808
1754,wiwinnilawati6,4,0,2025-05-24 13:22:13+00:00,16,True,Jakarta,Kopi Kenangan - Warakas Jakarta Utara,2280,2,#kopikenangan #kopikenanganvoucher #ngopi #kopikenanganwarakas ,14,https://www.tiktok.com/@wiwinnilawati6/video/7508001961833139463
225,kembeo263,132,39,2025-02-21 01:49:17+00:00,3735,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,98300,164,Đi Bee Night nghe a Thành vá mà order Chú đại bi 🤣 Và cách anh xử lý thì 🤣🤣🤣 #beenight #beenighthqv #phamcongthanh #thanhva #coffeeandmusic  #chualanh ,49,https://www.tiktok.com/@kembeo263/video/7473683545903369490
241100,chamnariii,76700,1681,2023-06-18 04:16:03+00:00,324800,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,10100000,11800,Trả lời @🇻🇳 BEAUTY INTERNATIONAL 👑  @minhthong873 bản dài tập hát đây rồi đu trend liền thui #narizhen #chamnari #xuhuong #lyrics #nhactrungquoc #nhachaymoingay #phienamtiengviet #cothehaykhong #cothehaykhongkaraoke #可不可以伴奏 #cothehaykhongbeat #可不可以 #fyp #chinasong #foryou #fypシ ,57,https://www.tiktok.com/@chamnariii/video/7245875090825448709
5670,kopi.ku38,12,8,2025-06-12 05:55:02+00:00,106,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,8506,2,#bibitkopi #fy #cianjur #kopikusuperlebat #fyp #fyppppppppppppppppppppppp ,192,https://www.tiktok.com/@kopi.ku38/video/7514937330097065223
82700,chigo.id,2,1,2025-06-16 03:00:00+00:00,11,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,219,1,"BARU! Woww! 🤩 Kamu bisa atur sendiri Chi-Snack kesukaan kamu lho bareng 13 topping dan saus pilihan #ChigoxFlip mulai dari 13RB! 😍

Menu kolaborasi spesial dari Chigo x Flip dan Cheetos Doritos ini sudah tersedia di Aplikasi Kopi Kenangan / GoFood / GrabFood / ShopeeFood / datang langsung ke outlet Chigo x Flip terdekat.

#ChigoxFlip
#Chigo
#FlipBurger
#ChigoxCheetosDoritos",34,https://www.tiktok.com/@chigo.id/video/7515628478121790738
747,astimuf,103,7,2025-06-14 10:27:09+00:00,339,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,5664,83,"Nyobain photobooth @Fotosnaps Indonesia dan langsung jatuh cinta. Gak cuma cetak foto lucu, tapi bisa dibikin jadi keychain roll film yang gemes bgt 🥹🤍 Literally bawa kenangan dalam bentuk mini :3

📍Kopi Toko Tua
Jl. Baranang Siang No. 7 

#placetogobandung #photoboothbandung #mustvisit #fotosnap #filmkeychain ",36,https://www.tiktok.com/@astimuf/video/7515749625249139974
42000,memorycoffee.idn,81900,8497,2024-04-27 10:10:23+00:00,1000000,True,Tidak Mengisi/Tidak diketahui,Palembang,13100000,27200,"ya ga salah sih,tpiii..gmna yaa🤔#memorycoffee #barista #cafepalembang ",16,https://www.tiktok.com/@memorycoffee.idn/video/7362487144612367622
257,zen.coffee.and.tea,91,11,2025-06-13 02:40:50+00:00,2326,True,Hoc Mon,Khu Vui Chơi Mỹ Yến,25200,19,Một số món nước ngon tại Zen coffee and tea house,20,https://www.tiktok.com/@zen.coffee.and.tea/video/7515258339673066769
568,akusiapamu75,360,37,2024-04-14 04:09:45+00:00,1082,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,89600,372,#fyp #beranda #xyzbca #jls #vibes #aesthetic #cinematic #liriklagu #overlay #ndxaka #tewastertimbunmasalalu #akusiapamu75 ,34,https://www.tiktok.com/@akusiapamu75/video/7357570102285372677
137100,heinoakkaraung,5213,227,2024-12-10 12:33:04+00:00,42800,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,840300,6206,အပြေးလေးသွားခဲ့ပါတယ် 😭🫶🏽 #datewithoak #fyp #fypviralシ゚viral #mandalayvlog #mandalay #goffeecoffee,42,https://www.tiktok.com/@heinoakkaraung/video/7446760243322801416
63000,rahmafitriana1578,3,5,2025-06-15 14:39:32+00:00,28,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,440,2,Gosip Fakta Akurat @Nyta widiya🕊️ @cecevi23_1 🤣🙏🏻#tainan #chimeimuseum #starbucksdrinks #fyp #rahmafitriana578 #rfmovie ,12,https://www.tiktok.com/@rahmafitriana1578/video/7516185759611653381
219,garizaaa,3,8,2025-06-16 06:36:40+00:00,37,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,336,11,"Terima kasih untuk kalian semua yang sudah jadi bagian dari perjalanan 1,9 tahun ini. Tempat ini bukan hanya sebatas tempat kerja, melainkan sudah menjadi rumah kedua dan sudah seperti keluarga sendiri. Banyak tawa, lelah, shift panjang yang kita lewati dan moment yang tak terlupakan di bar ini.Semoga ke depannya kalian semua semakin solid, tetap hangat seperti keluarga, dan terus menyajikan kopi dengan sepenuh hati. Aku percaya tempat ini akan semakin berkembang, dan kalian akan terus jadi bagian penting dalam setiap cangkir yang disajikan. Sampai jumpa di kesempatan lainnya dengan cerita dan tawa yang baru. Tetap semangat, jaga bar ini tetap hidup seperti dulu kita bersama. #KopiKenangan #TamsisFamily #tamansiswa #yogyakarta #baperista #resignkerja #fyp #Terimakasih ",45,https://www.tiktok.com/@garizaaa/video/7516432400449096966
196500,fajargpjkt,29,15,2025-06-11 05:01:37+00:00,471,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,34100,23,"Ini dia, rasa yang akan segera hilang 🫣",53,https://www.tiktok.com/@fajargpjkt/video/7514552479430757639
7898,tiandeh__,164,31,2025-06-16 05:22:36+00:00,1546,True,Tidak Mengisi/Tidak diketahui,Surabaya,28600,1149,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
1100000,laguindiaenak,0,0,2025-06-16 09:58:12+00:00,47,True,Bekasi Regency,Kopi Kenangan - Ruko Grand Wisata Bekasi,984,0,Kopi kenangan favorit bgt,13,https://www.tiktok.com/@laguindiaenak/video/7516484339190762757
77500,arizona_chodor,1,5,2025-06-15 14:52:11+00:00,127,True,Tidak Mengisi/Tidak diketahui,PIK 2,1769,0,hanya sebatas kopi tanpa campuran lain #kopikenangan  #kopihitam  #kulinertiktok  #pedagangkecil  #tongkrongan ,23,https://www.tiktok.com/@arizona_chodor/video/7516189017101126968
81600,ninilll_123,27,18,2025-06-15 05:39:36+00:00,274,True,Kebumen,Sruweng,6254,24,#kopikenangan #mylove #vedeoviral #tik_tok #fypシ゚  #👌👌👌 #💪💪💪 #❤️❤️❤️❤️❤️ ,60,https://www.tiktok.com/@ninilll_123/video/7516046613169655047
7898,tiandeh__,164,44,2025-06-16 05:22:36+00:00,1542,True,Tidak Mengisi/Tidak diketahui,Surabaya,28500,1147,#cafesurabaya #surabaya #placetogo #tempatnongkrong #surabayatiktok #fyp #surabayaviral #surabayahitz #surabayapusat #surabaya24jam #kopikenangan ,15,https://www.tiktok.com/@tiandeh__/video/7516413307004194104
504,ciungcoffee,0,0,2025-05-07 11:16:21+00:00,20,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,505,0,"bukan mantan, tapi bikin kangen terus. 

kalooo sobat sobat sukaaa kangeeen gaaa niiih???

📍jln.ciung indah, danau indah || no.03 kec. cikarang barat 
🕰️ 10.00 - 21.00
🕰️ 10.00 - 22.00

#coffee #cinematic #ciungcoffee #cikarang #bekasi ",24,https://www.tiktok.com/@ciungcoffee/video/7501661078544272647
707,riaaaaani09,0,0,2025-06-12 15:01:20+00:00,20,True,Tidak Mengisi/Tidak diketahui,Las Vegas,234,0,Coffe vibes 💕#fyp #coffeevibes #icecoffee #di ,87,https://www.tiktok.com/@riaaaaani09/video/7515078076519255326
2905,lagu.jiwang90an,68,18,2025-06-14 06:18:02+00:00,413,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,10800,62,Bila Diburu Kenangan/SAMUDERA #lagujiwang90an #fyp #komen #follow #support #share #like #kopylink😊 ,71,https://www.tiktok.com/@lagu.jiwang90an/video/7515685433058135303
239700,ayulestari.official,256,53,2025-06-13 20:37:42+00:00,2572,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,56700,50,Tapi ini bukan tentang kopi🥹,45,https://www.tiktok.com/@ayulestari.official/video/7515535860557827346
3550,n.sa987,7,22,2025-06-12 14:31:30+00:00,273,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,8299,5,"Briefing rek setiap pagi..🫰🤗
#kamis12juni2025 
#pabrik#plywood 
#fyppppppppppppppppppppppp ",85,https://www.tiktok.com/@n.sa987/video/7515070431116791046
681,neizmasiranokuce,511,138,2025-06-15 12:44:57+00:00,3891,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,66000,609,,185,https://www.tiktok.com/@neizmasiranokuce/video/7516156226837810437
42000,memorycoffee.idn,57400,3016,2024-05-03 11:04:57+00:00,708900,True,Tidak Mengisi/Tidak diketahui,Palembang,9200000,11200,kan jadi canggung bgt😅#memorycoffeepalembang ,17,https://www.tiktok.com/@memorycoffee.idn/video/7364727709848653061
1659,kuepiakeyshaofficial,116,15,2025-06-14 08:13:36+00:00,281,True,Tegal City,"Kue Pia Keysha (Latopia Khas Tegal), Jl Semarang Debong Tengah",31500,62,"Happy Weekend Everyone
Waktunya berlibur bersama keluarga atau sahabat tercinta❤️

Nah kalau kalian berlibur ke daerah kota Tegal, jangan lupa mampir beli oleh oleh khas Tegal Kue Pia Keysha langsung dari pabrik pembuatan👌

📍@kuepiakeysha
⏰ 08.00 - 20.00 (Buka Setiap Hari)
📱085747999661
💸 Cara Pembayaran : Cash, Qris, Transfer
🛵 Pembelian bisa langsung ke lokasi, delive minor + ongkir menyesuaikan lokasi
🌍 Gmaps ""Kue Pia Keysha (pusat oleh oleh khas tegal)""
🏠 Jl Semarang no 3 Rt 04/Rw 05, Debong Tengah, Tegal Selatan, Kota Tegal",31,https://www.tiktok.com/@kuepiakeyshaofficial/video/7515715197932293382
42000,memorycoffee.idn,8071,362,2024-12-14 12:11:56+00:00,173600,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,5500000,1680,"inimah ga gwencanayo.. jangan lupa ngopi ke memory ya !!! 

ib : tadaima.bakehouse
#memorycoffeepalembang #memory #coffeetiktok #kocak #sadstory ",12,https://www.tiktok.com/@memorycoffee.idn/video/7448239123745213702
42000,memorycoffee.idn,1237,35,2025-03-11 11:50:05+00:00,4855,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,146100,1066,"udah sopan kan kalo gini memories ? 🫣
#kocak #memorycoffeepalembang #palembang #saltingbrutal #happy #sketsa #coffee ",10,https://www.tiktok.com/@memorycoffee.idn/video/7480517890978974982
3758,_rymrt,3,1,2025-06-14 17:44:53+00:00,70,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,487,0,@SB19 Official 😭💕,208,https://www.tiktok.com/@_rymrt/video/7515862433483721992
136,sksmmszff8w,2,589,2025-06-05 07:10:37+00:00,70,True,Tidak Mengisi/Tidak diketahui,Indonesia,19200,12,"""Teriakan dari Gerobak Kopi""
Dino, 28 tahun, adalah barista keliling. Ia mengubah gerobak dorong jadi stand kopi mini dan menjajakan kopi keliling kampung setiap malam.
Suatu malam, ia memilih jalur baru — jalan kecil dekat area bekas rel kereta yang sudah tidak aktif. Lokasi itu sepi, tapi cukup strategis untuk nongkrong karena banyak anak muda lewat.
Di malam pertama, sekitar pukul 11, saat ia sedang menyeduh pesanan terakhir, tiba-tiba terdengar suara jeritan keras dari arah gerobaknya. Bukan suara manusia biasa — lebih seperti teriakan kesakitan... atau minta tolong.
Padahal, hanya Dino seorang diri di sana.
Ia pikir ada yang iseng atau sedang mabuk. Tapi setelah diperiksa, gerobaknya kosong — tidak ada orang, tidak ada yang janggal. Hanya saja, termos air panas yang tadi ia taruh rapi, kini tergeletak di tanah, seperti didorong dari dalam.
Malam berikutnya, suara teriakan itu kembali. Kali ini lebih panjang, dan datang tepat saat Dino membuka laci penyimpanan sendok.
Dino mulai merasa gerobaknya menyimpan sesuatu yang aneh.
Ia pun bercerita ke temannya, Bagas, yang pernah kerja sebagai petugas medis di rel kereta. Saat mendengar lokasi Dino biasa mangkal, wajah Bagas langsung tegang.
“Lo mangkal di deket rel mati itu? Bro... tahun 2016 ada kecelakaan di sana. Seorang tukang kopi keliling ketabrak kereta dini hari. Gak sempat diselamatkan... katanya tubuhnya terhimpit gerobaknya sendiri.”
Ternyata... gerobak kopi milik Dino adalah gerobak bekas milik korban. Ia beli murah dari pasar loak, tanpa tahu asal-usulnya.
Dino mencoba menjual gerobaknya, tapi anehnya tak ada yang mau beli. Beberapa pembeli bahkan mengaku mendengar suara teriakan saat mereka memegang gagangnya.
Malam itu, Dino memutuskan berhenti jualan. Tapi pukul 11, gerobak itu berderak sendiri keluar dari gudang, dan terdengar lagi suara:
“KOPI... KOPI... SATU... LAGI...”",5,https://www.tiktok.com/@sksmmszff8w/video/7512359129826987281
19,niiiiinuuuuu,1,0,2025-06-14 00:42:48+00:00,7,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,316,0,🍵 🫖 🧑🏽‍🎤🧚🏽👒🦚🌵🌱🌿☘️🍀🍃🖼️💚♻️🟢,14,https://www.tiktok.com/@niiiiinuuuuu/video/7515599034359270663
1773,farina2244,445,7,2025-03-12 01:42:12+00:00,2813,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,46700,341,ချစ်သူကောင်လေးနဲ့အေးဆေးchillလို့ရတဲ့နေရာလေး#theplanthousecafe #❤️ #foryou ,29,https://www.tiktok.com/@farina2244/video/7480732340063407367
17600,lykhan92,405,206,2025-06-15 16:16:04+00:00,3206,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,429600,885,,88,https://www.tiktok.com/@lykhan92/video/7516210632572587269
969600,iamchazynash,11,11,2025-06-16 05:37:50+00:00,364,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,7422,13,"Bila rezeki tak salah alamat ❤️‍🩹 21hb Jun 2025 ni, hari Sabtu! @TOK KERAMAT JITRA ada buat OPEN FOOD TASTING DAY, jam 6pm sampai 10pm kat Restoran Tok Keramat Jitra. Yang mana belum kahwin atau tengah plan nak buat kenduri kahwin tu, jom ramai2 kita booking slot food tasting dan feel sendiri suasana di sana, memang meriah dan puas hati!. Booking slot sekarang sebelum seat penuh 😘",88,https://www.tiktok.com/@iamchazynash/video/7516417235875859730
908,supriati890,1,7,2025-05-31 04:05:27+00:00,11,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,147,0,,8,https://www.tiktok.com/@supriati890/video/7510456061329968402
3306,1985latahzan,133,218,2025-05-22 17:21:23+00:00,1429,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,146200,60,,55,https://www.tiktok.com/@1985latahzan/video/7507321419018046776
7,vanmanvippro,1110,2,2025-06-16 03:10:21+00:00,3040,True,Tidak Mengisi/Tidak diketahui,Tidak Mengisi/Tidak diketahui,213500,1098,Phông bạt tuyệt đối!#xuhuong,22,https://www.tiktok.com/@vanmanvippro/video/7516379238455381266
